date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
31/12/2019 21:57,shooosh1402,,1,1,1,#معاناة_سكان_حطين للان مفجوعة وما قدرت انام س١ من الانفجاربدون سبق انذار! ليش التنديد بمن اعلن الاحتفال في حريملا؟حسبي الله وكفى ،ما اسوأ من حديث النعمة الا حديث الحرية والموضة والتقليد الاعمى ،هذا تسفيه وليس ترفيه .. الله لا يسلط علينا اصوات قنابل الحرب بدل قنابل الافساد,,,,1.21E+18,https://twitter.com/shooosh1402/status/1212130567573123075
31/12/2019 21:36,hkh6,Turki_alalshikh,1,3,7,للاسف مُعاناة حي حطين ما زلت مستمره بالزحمه والألعاب ناريه بأوقات مُتأخره دون إعلان مسبق ومع عدم مُراعاة : ١- حي سكني . ٢- وجود كبار سن . ٣- وجود مرضى . ٤ - يوم دوام . اتمنى تنظرون لموضوع الاحتفالات من زاوية اُخرى .. #معاناه_سكان_حطين #اول_يوم_في2020 #راس_السنه_الميلاديه,,,,1.21E+18,https://twitter.com/hkh6/status/1212125328186978305
31/12/2019 21:30,hsos00,,0,2,0,#معاناة_سكان_حطين الله يكون في عونكم َحسبنا الله ونعم الوكيل,,,,1.21E+18,https://twitter.com/hsos00/status/1212123767650082816
31/12/2019 21:12,EmadMoh15,,0,2,0,قلة ادب ومافي اَي احترام للسكان ومسئولين فاشلين مسوين الفعاليات وألعاب نارية وسط حي سكني ناهـيك عن الناس الي جايين من كل مكان ع الحي . . #معاناة_سكان_حطين,,,,1.21E+18,https://twitter.com/EmadMoh15/status/1212119410481209344
31/12/2019 21:06,Nawafi_15,,1,1,0,#معاناه_سكان_حطين أكثر ناس مستعدين للقصف في حال قامت حرب لا سمح الله :),,,,1.21E+18,https://twitter.com/Nawafi_15/status/1212117879895855105
31/12/2019 21:04,Aalthawad,,4,2,0,#معاناه_سكان_حطين حسبنا الله ونعم الوكيل,,,,1.21E+18,https://twitter.com/Aalthawad/status/1212117348259422209
28/12/2019 0:01,NAlmuqu,,0,0,0,#معاناة_حي_حطين ,,,,1.21E+18,https://twitter.com/NAlmuqu/status/1210712445846724611
26/12/2019 21:45,mnsd2014,,1,1,1,#معاناه_سكان_حطين اللي مسؤول عن بوابات استديوات البوليفارد سكرها صوت الطرب ما خلانا ننوم #ليله_جمعه,,,,1.21E+18,https://twitter.com/mnsd2014/status/1210315635353407489
26/12/2019 2:44,Bndr888_,Yzeed_antar,0,0,0,ألطم ؟ #معاناه_سكان_حطين ,,,,1.21E+18,https://twitter.com/Bndr888_/status/1210028656799731712
19/12/2019 19:11,alohi20000,,2,1,0,#معاناة_سكان_حطين الله الله الله اليوم الحاره رجعت لوضعها الطبيعي,,,,1.21E+18,https://twitter.com/alohi20000/status/1207740197225537536
19/12/2019 15:50,Bndr888_,,1,0,0,يارب لك الحمد اليوم حي #حطين رجع لوضعه الانساني و بيتي زي بيوت العالم ساكن و رايق #البوليفارد مقفل الله لا يعيدك من مشروع #معاناه_سكان_حطين,,,,1.21E+18,https://twitter.com/Bndr888_/status/1207689584370503681
19/12/2019 11:08,Al3owifi,,1,0,0,اعانكم الله واضح ان فيه معاناة حقيقية تعيشونها .. #معاناه_سكان_حطين,,,,1.21E+18,https://twitter.com/Al3owifi/status/1207618756912001026
18/12/2019 23:16,Bndr888_,2A_many22,0,0,1,استفزاز هذا مو ترفيه حسبنا الله حسبنا الله ونعم الوكيل #معاناه_سكان_حطين #البولي #البوليفارد,,,,1.21E+18,https://twitter.com/Bndr888_/status/1207439624299327489
18/12/2019 23:10,Aalthawad,,0,0,0,#معاناه_سكان_حطين عظم الله أجرنا,,,,1.21E+18,https://twitter.com/Aalthawad/status/1207438061791043585
18/12/2019 23:04,2A_many22,,2,2,1,اغاني البوليفارد اليوم بزيادة مرفعين الصوت و الله من كثر حاجتي للنوم بدون ازعاج بكيت من القهر صدعت بشكل فضيع حسبي الله احس الحفله بالبيت من قوة الصوت #معاناه_سكان_حطين,,,,1.21E+18,https://twitter.com/2A_many22/status/1207436382899200001
18/12/2019 22:56,Aalthawad,,0,0,0,#معاناه_سكان_حطين حسبنا الله ونعم الوكيل.,,,,1.21E+18,https://twitter.com/Aalthawad/status/1207434443692093440
18/12/2019 22:42,Bndr888_,,0,2,0,عدلك يا رب في المسؤول عن هذا الاستهتار ، #حطين حي سكني ليه انقلبت بيوت الناس ازعاج و ردح !!! #معاناه_سكان_حطين,,,,1.21E+18,https://twitter.com/Bndr888_/status/1207430901833093121
18/12/2019 22:40,jaaaaa09,,0,1,0,حسبي الله ونعم الوكيل لا الطلاب ذاكروا ولاناموا من ازعاج اغاني حفلات الرياض #معاناه_سكان_حطين,,,,1.21E+18,https://twitter.com/jaaaaa09/status/1207430544629342208
18/12/2019 22:37,BinSaod,,0,0,0,انا بالدرعيه وانفقع راسي ما عرفت ارقد =) كله كوم والكوم الثاني يخي ترانا وسط اسبوع والساعه بتجي ثنتين ، اقلها اركدو شوي يخي + انا مدري من يرقص ذا الحزه وبها البرد #معاناة_سكان_حطين,,,,1.21E+18,https://twitter.com/BinSaod/status/1207429727063101440
18/12/2019 22:32,SarahAlbeee,,0,0,0,الساعة ١:٣٠ هذا غير منطقي والكل عنده اختبارات نهائية بعد كم ساعة!! #معاناه_سكان_حطين,,,,1.21E+18,https://twitter.com/SarahAlbeee/status/1207428506646437888
18/12/2019 22:31,SarahAlbeee,,1,6,4,نبي ننوم!! معليييش ازعاج يوم من الدرعية يوم من البوليفارد!! هذا وأنا وسط الحي اقسم بالله كانهم في غرفتي من علي الصوت!! القولكم مكان تسوون فيه حفلات بعيد من منطقة سكنيه!! #معاناه_سكان_حطين,,,,1.21E+18,https://twitter.com/SarahAlbeee/status/1207428239318290434
18/12/2019 22:10,maha_sh3,,0,4,2,#معاناة_سكان_حطين يوميًا في أخر الليل ردحه وإزعاج متواصل كأنهم في نص البيت ماصار ترفيه صار هبال وقلق وستهتار حسبنا الله عليكم لا الناس في الحي عرفو يدرسون ولا ينامون والمصيبة الأكبر اننا بفترة اختبارات,,,,1.21E+18,https://twitter.com/maha_sh3/status/1207422894244061184
17/12/2019 21:32,Maha_SB,,4,2,1,لا مصخت مب طبيعي الوضع قبل كم يوم أصوات الألعاب الناريه روعتنا بنص الليل قسم بالله جتني أم الركب أحسبه صواريخ والحين يوميًا ردحه وإزعاج متواصل كأنهم بينا بنص البيت؟؟ ماصار ترفيه هذا اسمه قلق قلللق #موسم_الرياض @RiyadhSeason #معاناة_سكان_حطين,,#NAME?,,1.21E+18,https://twitter.com/Maha_SB/status/1207051046146781185
17/12/2019 21:31,Reem94s,,0,0,1,متى بيطفون اغانيهم؟ #موسم_الرياض :) #بوليفارد_الرياض #معاناه_سكان_حطين,,,,1.21E+18,https://twitter.com/Reem94s/status/1207050633347584001
15/12/2019 22:07,NAlmuqu,,0,0,0,وش هالروعه الساعه ١ونص العاب ناريه!! احترموا الوقت فيه أطفال وكبار بالسن ترعبهم هالأصوات #معاناه_سكان_حطين,,,,1.21E+18,https://twitter.com/NAlmuqu/status/1206335001324851200
15/12/2019 19:00,mudhy111,,0,0,0,فعلا البارحه ليلة الاحد قمت مفزوعه من صوت انفجارات الالعاب النارية من الخوف احسبه حرب الله يحفظنا.العاده يوم الخميس ازعاج لكن ليلة دوام ومدارس؟هذي مافيها مراعاة لكبير سن ولا مريض ولا طفل ولا اللي وراهم دوام ومدارس حرام كيذا فعلا تعذيب نفسي #معاناة_سكان_حطين,,,,1.21E+18,https://twitter.com/mudhy111/status/1206287883847553024
15/12/2019 14:46,Amas1410,AmrAlmadhi,2,3,2,#معاناه_سكان_حطين الساعة ٢ م ,,,,1.21E+18,https://twitter.com/Amas1410/status/1206224026286383105
15/12/2019 13:00,stronggirl28,,0,1,0,وقت الاختبارات يتوقع ان الجميع يهتم بعيالهم وبهدوء المكان لهم. واحنا ننزعج من العاب نارية للمكان الترفيهي الموجود في حارتنا! يارب يكون فيه دراسة للموقع قبل ينشأ مكان ترفيهي بحي سكني #معاناة_حي_حطين,,,,1.21E+18,https://twitter.com/stronggirl28/status/1206197394561490944
15/12/2019 11:41,q185er,maha_sh3,0,1,1,#معاناة_سكان_حطين امس كنت نائمة ياربي قمت مروّعة ونافذتي ع الجهة الاخرى ما بلغونا ان فيه العاب يارب متى ينتهي هالعذاب,,,,1.21E+18,https://twitter.com/q185er/status/1206177499744538624
15/12/2019 10:00,k_22mo,,0,0,0,#معاناه_سكان_حطين أبيع بيتي وين اروح,,,,1.21E+18,https://twitter.com/k_22mo/status/1206152109290348544
14/12/2019 22:15,haifaAlRumaihi,,0,4,0,#معاناه_سكان_حطين العادة كل خميس في الساعة التاسعة نكون مستعدين نفسيا للإزعاج وللألعاب النارية اللي تهز بيوتنا.. لكن فجأة وبدون مقدمات تسمع صوت قوي يهز بيتك وكأن البيوت ما فيها أوادم على ١٢:٠٠ الليل شي يحزززن قسم باللله بيتنا ماعاد فيه راحه وهدووء,,,,1.21E+18,https://twitter.com/haifaAlRumaihi/status/1205974698049323016
14/12/2019 19:53,maha_sh3,,8,10,3,#معاناه_سكان_حطين اليوم السبت وليلة دوام وش المناسبة ترا ماكثر من شي سمج ,,,,1.21E+18,https://twitter.com/maha_sh3/status/1205938881893416968
